id,year,undermatch_rate,access_to_naviance
sid76a4,2015,0.2,FALSE
sid76a4,2016,0,TRUE
sid76a4,2017,0,TRUE
sid76a4,2018,0.16666666666666666,TRUE
sid76a4,2019,0.4,TRUE
sid76a9,2016,0,TRUE
sid76a9,2017,0,TRUE
sid76a9,2018,0,TRUE
sid76a9,2019,0.25,TRUE
sid76ae,2015,0,TRUE
sid76ae,2016,0.5,TRUE
sid76ae,2017,0.5,TRUE
sid76ae,2018,0.5,TRUE
sid76ae,2019,0.5,TRUE
sid78b9,2014,0.15789473684210523,FALSE
sid78b9,2015,0.2,FALSE
sid78b9,2016,0.125,FALSE
sid78b9,2017,0.08,FALSE
sid78b9,2018,0.1111111111111111,FALSE
sid78b9,2019,0.32,TRUE
sid79a1,2014,0,FALSE
sid79a1,2015,0.05555555555555555,FALSE
sid79a1,2016,0.16,TRUE
sid79a1,2017,0.2,TRUE
sid79a1,2018,0.3333333333333333,TRUE
sid79a1,2019,0.23333333333333336,TRUE
sid814d,2014,0.09395973154362416,FALSE
sid814d,2015,0.06741573033707865,TRUE
sid814d,2016,0.09359605911330048,TRUE
sid814d,2017,0.065,TRUE
sid814d,2018,0.06278026905829596,TRUE
sid814d,2019,0.08438818565400844,TRUE
sid8384,2014,0,FALSE
sid8384,2015,0.1875,TRUE
sid8384,2016,0.0588235294117647,TRUE
sid8384,2017,0.1111111111111111,TRUE
sid8384,2018,0.05263157894736842,TRUE
sid8384,2019,0.17391304347826086,TRUE
sid8400,2014,0.0603448275862069,FALSE
sid8400,2015,0.06060606060606061,TRUE
sid8400,2016,0.03896103896103896,TRUE
sid8400,2017,0.0136986301369863,TRUE
sid8400,2018,0.02976190476190476,TRUE
sid8400,2019,0.01818181818181818,TRUE
sid8760,2014,0.18181818181818185,FALSE
sid8760,2015,0.25,FALSE
sid8760,2016,0.25,FALSE
sid8760,2017,0.3157894736842105,FALSE
sid8760,2018,0.35714285714285715,TRUE
sid8760,2019,0.34146341463414637,TRUE
sid87b9,2014,0.03125,FALSE
sid87b9,2015,0.03968253968253968,FALSE
sid87b9,2016,0.11515151515151516,TRUE
sid87b9,2017,0.12359550561797752,TRUE
sid87b9,2018,0.12698412698412698,TRUE
sid87b9,2019,0.232,TRUE
sid8a94,2014,0.1724137931034483,FALSE
sid8a94,2015,0.10344827586206896,TRUE
sid8a94,2016,0.1153846153846154,TRUE
sid8a94,2017,0.13333333333333333,TRUE
sid8a94,2018,0.18181818181818185,TRUE
sid8a94,2019,0.2222222222222222,TRUE
sid8b00,2014,0.1,FALSE
sid8b00,2015,0.09090909090909093,FALSE
sid8b00,2016,0.1,TRUE
sid8b00,2017,0.3333333333333333,TRUE
sid8b00,2018,0.38461538461538464,TRUE
sid8b00,2019,0.3548387096774194,TRUE
sid8d4d,2014,0,FALSE
sid8d4d,2015,0,TRUE
sid8d4d,2016,0,TRUE
sid8d4d,2017,0,TRUE
sid8d4d,2018,0,TRUE
sid8d4d,2019,0,TRUE
sid8fc3,2014,0,FALSE
sid8fc3,2015,0,TRUE
sid8fc3,2016,1,TRUE
sid9000,2014,1,FALSE
sid9000,2015,0,FALSE
sid9000,2016,0,TRUE
sid9000,2017,0.14285714285714285,TRUE
sid9000,2018,0,TRUE
sid9000,2019,0.6,TRUE
sid9230,2015,1,FALSE
sid9230,2016,0.5,FALSE
sid9230,2018,0,FALSE
sid9230,2019,0.5,TRUE
sid9307,2014,0.05084745762711865,FALSE
sid9307,2015,0.08571428571428572,TRUE
sid9307,2016,0.10714285714285714,TRUE
sid9307,2017,0.09183673469387756,TRUE
sid9307,2018,0.0891089108910891,TRUE
sid9307,2019,0.05263157894736842,TRUE
sid94db,2014,0,FALSE
sid94db,2015,0.5,TRUE
sid94db,2016,1,TRUE
sid94db,2017,1,TRUE
sid94db,2018,1,TRUE
sid94db,2019,1,TRUE
sid9600,2014,0.16666666666666666,FALSE
sid9600,2015,0.13636363636363635,FALSE
sid9600,2016,0.10606060606060606,FALSE
sid9600,2017,0.2037037037037037,FALSE
sid9600,2018,0.20512820512820512,FALSE
sid9600,2019,0.2839506172839506,TRUE
sid96b4,2014,0,FALSE
sid96b4,2015,0,TRUE
sid96b4,2016,0,TRUE
sid96b4,2017,0,TRUE
sid96b4,2018,0,TRUE
sid96b4,2019,0,TRUE
sid96eb,2015,0,TRUE
sid96eb,2016,0,TRUE
sid96eb,2017,1,TRUE
sid96eb,2018,0.5,TRUE
sid96eb,2019,0.6,TRUE
sid974d,2015,0.25,FALSE
sid974d,2016,1,FALSE
sid974d,2018,0.6666666666666666,TRUE
sid974d,2019,0.6666666666666666,TRUE
sid9770,2014,0.2857142857142857,FALSE
sid9770,2015,0.4545454545454546,FALSE
sid9770,2016,0.4545454545454546,FALSE
sid9770,2017,0.4117647058823529,FALSE
sid9770,2018,0.5555555555555556,TRUE
sid9770,2019,0.7333333333333333,TRUE
sid977c,2014,0.2,FALSE
sid977c,2015,1,TRUE
sid977c,2016,0.2,TRUE
sid977c,2017,0,TRUE
sid977c,2018,0,TRUE
sid977c,2019,0,TRUE
sid9ac1,2014,0,FALSE
sid9ac1,2015,0.1,TRUE
sid9ac1,2016,0,TRUE
sid9ac1,2017,0.16666666666666666,TRUE
sid9ac1,2018,0.1111111111111111,TRUE
sid9ac1,2019,0.3333333333333333,TRUE
sid9b4d,2014,0,FALSE
sid9b4d,2015,0,FALSE
sid9b4d,2016,0.3333333333333333,TRUE
sid9b4d,2017,0,TRUE
sid9b4d,2018,0.2222222222222222,TRUE
sid9b4d,2019,0,TRUE
sid9db4,2014,0,FALSE
sid9db4,2015,0.10526315789473684,FALSE
sid9db4,2016,0.1111111111111111,TRUE
sid9db4,2017,0.125,TRUE
sid9db4,2018,0.10869565217391304,TRUE
sid9db4,2019,0.30952380952380953,TRUE
sid9f02,2015,0,TRUE
